Year,Car,Model,Kilometre Driven,Fuel Type,Transmission Type,Location,Price
2017,Hyundai,Hyundai Grand i10 SPORTZ (O) 1.2 KAPPA VTVT,"51,401 KM",PETROL,MANUAL,New Delhi,4.02 lakh
2019,Hyundai,Hyundai Creta S 1.4 DIESEL,"51,919 KM",DIESEL,MANUAL,New Delhi,8.77 lakh
2021,Hyundai,Hyundai i20 MAGNA 1.2,51801 KM,PETROL,AUTOMATIC,Gurgaon,9.32 lakh
2020,Honda,Honda Amaze 1.2L I-VTEC S,"52,036 KM",PETROL,MANUAL,New Delhi,5.79 lakh
2017,Hyundai,Hyundai Grand i10 SPORTZ (O) AT 1.2 KAPPA VTVT,"52,543 KM",PETROL,AUTOMATIC,New Delhi,4.92 lakh
2019,Tata,Tata Harrier XZ 2.0L,"52,622 KM",DIESEL,MANUAL,New Delhi,11.88 lakh
2012,Hyundai,Hyundai i10 MAGNA 1.2,"52,773 KM",PETROL,MANUAL,New Delhi,1.9 lakh
2014,Hyundai,Hyundai Elite i20 MAGNA 1.2,"52,966 KM",PETROL,MANUAL,New Delhi,3.64 lakh
2016,Honda,Honda Amaze 1.2L I-VTEC S,"52,996 KM",PETROL,MANUAL,New Delhi,4.03 lakh
2017,Tata,Tata NEXON XZ PLUS (O) PETROL DARK EDITION,52679 KM,DIESEL,MANUAL,Gurgaon,10.95 lakh
2019,Hyundai,Hyundai NEW SANTRO SPORTZ MT,"53,016 KM",PETROL,MANUAL,New Delhi,4.17 lakh
2017,Tata,Tata TIGOR XT PETROL,"53,306 KM",PETROL,MANUAL,New Delhi,4.03 lakh
2018,Hyundai,Hyundai Creta SX 1.6 PETROL,"53,315 KM",PETROL,MANUAL,New Delhi,8.81 lakh
2019,Hyundai,Hyundai VENUE SX PLUS 1.0 TURBO DCT,"53,350 KM",PETROL,AUTOMATIC,New Delhi,8.81 lakh
2017,Hyundai,Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,53520 KM,PETROL,AUTOMATIC,Gurgaon,6.19 lakh
2012,Hyundai,Hyundai GRAND I10 NIOS MAGNA CORPORATE EDITION 1.2 KAPPA VTVT,53629 KM,PETROL,AUTOMATIC,Gurgaon,5.15 lakh
2016,Tata,Tata NEXON XZ PLUS PETROL,53630 KM,DIESEL,MANUAL,Gurgaon,1.28 lakh
2023,Hyundai,Hyundai Elite i20 ASTA 1.2 (O),53897 KM,PETROL,AUTOMATIC,Gurgaon,6.82 lakh
2016,Hyundai,Hyundai i20 Active 1.2 S,"54,035 KM",PETROL,MANUAL,New Delhi,5.08 lakh
2014,Hyundai,Hyundai i20 SPORTZ 1.2,"54,137 KM",PETROL,MANUAL,New Delhi,3.57 lakh
2019,Honda,Honda Amaze 1.2L I-VTEC S,"54,392 KM",PETROL,MANUAL,New Delhi,5.53 lakh
2014,Honda,Honda Amaze 1.2L I-VTEC VX AT,"54,504 KM",PETROL,AUTOMATIC,New Delhi,3.79 lakh
2017,Hyundai,Hyundai Eon ERA +,"54,582 KM",PETROL,MANUAL,New Delhi,2.77 lakh
2019,Honda,Honda Jazz 1.2L I-VTEC V,"54,689 KM",PETROL,MANUAL,New Delhi,5.66 lakh
2017,Honda,Honda City 1.5L I-VTEC V MT,54023 KM,DIESEL,MANUAL,Gurgaon,9.33 lakh
2009,Hyundai,Hyundai Elite i20 MAGNA 1.2,54493 KM,PETROL,AUTOMATIC,Gurgaon,8027 lakh
2015,Hyundai,Hyundai Elite i20 ASTA 1.2 (O),54918 KM,PETROL,AUTOMATIC,Gurgaon,6.33 lakh
2017,Hyundai,Hyundai Creta SX (O) 1.4 TURBO DCT,54982 KM,PETROL,AUTOMATIC,Gurgaon,4.91 lakh
2013,Hyundai,Hyundai i10 MAGNA 1.2,"55,217 KM",PETROL,MANUAL,New Delhi,2.16 lakh
2010,Hyundai,Hyundai Santro Xing GLS,"55,306 KM",PETROL,MANUAL,New Delhi,1.23 lakh
2011,Hyundai,Hyundai i10 SPORTZ 1.2,"55,723 KM",PETROL,MANUAL,New Delhi,1.74 lakh
2020,Honda,Honda City 1.5L I-VTE V CVT,"55,879 KM",PETROL,AUTOMATIC,New Delhi,8.81 lakh
2019,Hyundai,Hyundai Verna 1.6 VTVT SX,"55,921 KM",PETROL,MANUAL,New Delhi,7.78 lakh
2015,Hyundai,Hyundai Elite i20 MAGNA 1.2,55000 KM,PETROL,MANUAL,Gurgaon,4 lakh
2015,Hyundai,Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,55000 KM,DIESEL,MANUAL,Gurgaon,3.8 lakh
2019,Tata,Tata Harrier XZ 2.0L DARK EDITION,"56,690 KM",DIESEL,MANUAL,New Delhi,10.72 lakh
2019,Honda,Honda Amaze 1.2L I-VTEC S,"56,996 KM",PETROL,MANUAL,New Delhi,5.54 lakh
2019,Mahindra,Mahindra XUV300 W8 (O) 1.5 DIESEL,56293KM,Diesel,MANUAL,Indore,8.9 lakh
2018,Honda,Honda City 1.5L I-VTEC V MT,56853 KM,DIESEL,MANUAL,Gurgaon,3.86 lakh
2011,Hyundai,Hyundai i10 MAGNA 1.2,"57,449 KM",PETROL,MANUAL,New Delhi,1.65 lakh
2020,Hyundai,Hyundai Creta SX (O) 1.4 TURBO DCT,"57,460 KM",PETROL,AUTOMATIC,New Delhi,14.39 lakh
2017,Hyundai,Hyundai Elite i20 ASTA 1.2 (O),"57,487 KM",PETROL,MANUAL,New Delhi,5.2 lakh
2020,Hyundai,Hyundai Creta SX (O) 1.4 TURBO DCT,"57,541 KM",PETROL,AUTOMATIC,New Delhi,14.69 lakh
2019,Hyundai,Hyundai VENUE SX 1.0 (O) TURBO,"57,649 KM",PETROL,MANUAL,New Delhi,7.44 lakh
2014,Honda,Honda City 1.5L I-VTEC VX CVT,"57,652 KM",PETROL,AUTOMATIC,New Delhi,5.22 lakh
2015,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,"57,677 KM",PETROL,MANUAL,New Delhi,3.68 lakh
2015,Honda,Honda Jazz 1.2L I-VTEC SV,"57,702 KM",PETROL,MANUAL,New Delhi,3.9 lakh
2019,Honda,Honda City 1.5L I-VTEC ZX CVT,"57,956 KM",PETROL,AUTOMATIC,New Delhi,9.61 lakh
2009,Hyundai,Hyundai Elite i20 ASTA 1.2 (O),57501 KM,PETROL,AUTOMATIC,Gurgaon,83022 lakh
2016,Hyundai,Hyundai Verna 1.6 VTVT SX,57911 KM,DIESEL,MANUAL,Gurgaon,4.09 lakh
2016,Hyundai,Hyundai Elite i20 MAGNA 1.2,58735 KM,DIESEL,MANUAL,Gurgaon,8.18 lakh
2016,Hyundai,Hyundai i10 MAGNA 1.1,"59,405 KM",PETROL,MANUAL,New Delhi,3.09 lakh
2017,Honda,Honda Jazz 1.2L I-VTEC S,"59,577 KM",PETROL,MANUAL,New Delhi,4.37 lakh
2016,Hyundai,Hyundai Grand i10 ASTA (O) 1.2 KAPPA VTVT,"59,812 KM",PETROL,MANUAL,New Delhi,3.94 lakh
2018,Hyundai,Grand,"59,989 KM",PETROL,MANUAL,Lucknow,4.02 lakh
2019,Hyundai,Hyundai GRAND I10 NIOS MAGNA CORPORATE EDITION 1.2 KAPPA VTVT,59087 KM,DIESEL,MANUAL,Gurgaon,5.78 lakh
2018,Tata,Tata NEXON XZ PLUS (O) PETROL DARK EDITION,59118 KM,PETROL,AUTOMATIC,Gurgaon,7.37 lakh
2015,Hyundai,Hyundai NEW I20 Sportz (O) 1.2 IVT,59910 KM,DIESEL,MANUAL,Gurgaon,2.31 lakh
2017,Honda,City,"60,052 KM",PETROL,MANUAL,Lucknow,6.25 lakh
2019,Hyundai,Hyundai Elite i20 SPORTZ PLUS 1.2,"60,403 KM",PETROL,MANUAL,New Delhi,5.58 lakh
2017,Hyundai,Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,"60,443 KM",PETROL,MANUAL,New Delhi,4.15 lakh
2017,Hyundai,Hyundai Eon ERA +,"60,656 KM",PETROL,MANUAL,New Delhi,2.45 lakh
2019,Hyundai,Hyundai Elite i20 MAGNA PLUS 1.4 CRDI,"60,699 KM",DIESEL,MANUAL,New Delhi,6.08 lakh
2016,Hyundai,Hyundai Creta SX PLUS AT 1.6 PETROL,"60,846 KM",PETROL,AUTOMATIC,New Delhi,6.98 lakh
2015,Hyundai,Hyundai Elite i20 MAGNA 1.2,"60,958 KM",PETROL,MANUAL,New Delhi,4.35 lakh
2015,Honda,Honda City 1.5L I-VTEC V MT,"60,965 KM",PETROL,MANUAL,New Delhi,5.44 lakh
2015,Honda,Honda City 1.5L I-VTEC V MT,60000 KM,DIESEL,MANUAL,Gurgaon,5.5 lakh
2015,Honda,Honda City 1.5L I-VTEC V MT,60000 KM,DIESEL,MANUAL,Gurgaon,5.5 lakh
2017,Tata,Tata NEXON XZ PLUS (O) PETROL DARK EDITION,60124 KM,PETROL,AUTOMATIC,Gurgaon,9.41 lakh
2020,Tata,Tata ALTROZ XE PETROL,"61,103 KM",PETROL,MANUAL,New Delhi,4.91 lakh
2011,Honda,Honda City 1.5L I-VTEC S MT,"61,200 KM",PETROL,MANUAL,New Delhi,2.46 lakh
2012,Hyundai,Hyundai i10 MAGNA 1.2,"61,470 KM",PETROL,MANUAL,New Delhi,2.08 lakh
2019,Tata,Tata NEXON XZA PLUS PETROL,"61,470 KM",PETROL,AUTOMATIC,New Delhi,7.33 lakh
2019,Hyundai,Hyundai NEW SANTRO SPORTZ MT,"61,630 KM",PETROL,MANUAL,New Delhi,3.78 lakh
2019,Tata,Tata NEXON XMA DIESEL,"61,857 KM",DIESEL,AUTOMATIC,New Delhi,6.54 lakh
2020,Tata,Tata NEXON XZA PLUS SUNROOF PETROL,"62,116 KM",PETROL,AUTOMATIC,New Delhi,8.07 lakh
2020,Tata,Tata NEXON XZ PLUS PETROL,"62,246 KM",PETROL,MANUAL,New Delhi,7.36 lakh
2019,Hyundai,Hyundai NEW SANTRO SPORTZ MT,"62,309 KM",PETROL,MANUAL,New Delhi,4.17 lakh
2017,Hyundai,Hyundai Elite i20 MAGNA 1.2,"62,492 KM",PETROL,MANUAL,New Delhi,5.09 lakh
2015,Hyundai,Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,"62,536 KM",PETROL,MANUAL,New Delhi,3.31 lakh
2020,Tata,NEXON,"62,576 KM",Diesel,MANUAL,Lucknow,9.57 lakh
2012,Honda,Honda Brio S MT,"62,578 KM",PETROL,MANUAL,New Delhi,2.14 lakh
2019,Hyundai,Hyundai Elite i20 MAGNA PLUS 1.4 CRDI,"62,874 KM",DIESEL,MANUAL,New Delhi,6.2 lakh
2015,Hyundai,Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,"62,902 KM",PETROL,MANUAL,New Delhi,3.04 lakh
2019,Hyundai,Hyundai NEW SANTRO SPORTZ MT,62228 KM,DIESEL,MANUAL,Gurgaon,9.72 lakh
2015,Hyundai,Hyundai Elite i20 MAGNA 1.2,62267 KM,PETROL,AUTOMATIC,Gurgaon,9.98 lakh
2017,Hyundai,Hyundai i20 MAGNA 1.2,62723 KM,PETROL,AUTOMATIC,Gurgaon,10.24 lakh
2020,Hyundai,Hyundai AURA SX+ 1.0 TURBO GDI MT,"63,013 KM",PETROL,MANUAL,New Delhi,6.54 lakh
2018,Honda,Amaze,"63,220 KM",PETROL,MANUAL,Lucknow,5.43 lakh
2014,Hyundai,Hyundai Xcent S 1.2,"63,804 KM",PETROL,MANUAL,New Delhi,3.19 lakh
2021,Hyundai,Hyundai Verna SX (O) 1.5 CRDI AT,"63,807 KM",DIESEL,AUTOMATIC,New Delhi,11.49 lakh
2023,Tata,Tata NEXON XZ PLUS PETROL,63496 KM,PETROL,AUTOMATIC,Gurgaon,10.18 lakh
2015,Tata,Tata NEXON XZ PLUS (O) PETROL DARK EDITION,63940 KM,DIESEL,MANUAL,Gurgaon,6.52 lakh
2019,Tata,Tata Tiago XZA PLUS PETROL,"64,090 KM",PETROL,AUTOMATIC,New Delhi,5.01 lakh
2020,Hyundai,Hyundai Creta SX 1.5 PETROL,"64,872 KM",PETROL,MANUAL,New Delhi,11.7 lakh
2020,Hyundai,Hyundai Elite i20 MAGNA 1.2,64100 KM,DIESEL,MANUAL,Gurgaon,4.76 lakh
2014,Tata,Tata ALTROZ XM PLUS PETROL,64401 KM,PETROL,AUTOMATIC,Gurgaon,10.46 lakh
2019,Hyundai,Hyundai NEW SANTRO SPORTZ AMT,"65,109 KM",PETROL,AUTOMATIC,New Delhi,4.17 lakh
2019,Hyundai,NEW,"65,258 KM",PETROL,AUTOMATIC,Lucknow,4.34 lakh
2015,Honda,Honda Amaze 1.2L I-VTEC SX,"65,475 KM",PETROL,MANUAL,New Delhi,3.68 lakh
2016,Hyundai,Hyundai Creta BASE 1.6 PETROL,"65,480 KM",PETROL,MANUAL,New Delhi,6.56 lakh
2017,Honda,Honda Amaze 1.2L I-VTEC S,"65,833 KM",PETROL,MANUAL,New Delhi,4.33 lakh
2017,Tata,Tata Zest XT PETROL,"66,656 KM",CNG,MANUAL,New Delhi,4.22 lakh
2015,Hyundai,Hyundai Elite i20 MAGNA 1.2,"66,704 KM",PETROL,MANUAL,New Delhi,4.35 lakh
2020,Tata,Tata Tiago XZ PLUS PETROL,"66,943 KM",PETROL,MANUAL,New Delhi,5.36 lakh
2013,Maruti,Maruti Alto K10 LXI,66144KM,PETROL,MANUAL,Indore,1.98 lakh
2013,Hyundai,Hyundai i10 SPORTZ 1.2,66755KM,PETROL,MANUAL,Indore,2.6 lakh
2019,Hyundai,Hyundai Creta SX AT 1.6 DIESEL,"67,168 KM",DIESEL,AUTOMATIC,New Delhi,10.6 lakh
2013,Hyundai,Hyundai Eon MAGNA +,"67,222 KM",PETROL,MANUAL,New Delhi,1.92 lakh
2012,Hyundai,Hyundai Santro Xing GL PLUS,"67,395 KM",PETROL,MANUAL,New Delhi,1.87 lakh
2019,Honda,Honda Amaze 1.2L I-VTEC VX,"67,922 KM",PETROL,MANUAL,New Delhi,5.82 lakh
2013,Hyundai,Hyundai i20 MAGNA 1.2,67822 KM,DIESEL,MANUAL,Gurgaon,6.3 lakh
2016,Hyundai,Hyundai Creta SX PLUS ANNIVERSARY EDITION 1.6 PETROL,"68,339 KM",PETROL,MANUAL,New Delhi,7.36 lakh
2017,Honda,Honda Amaze 1.2L I-VTEC S,"68,484 KM",PETROL,MANUAL,New Delhi,4.24 lakh
2016,Honda,Honda City 1.5L I-VTEC VX CVT,"68,957 KM",PETROL,AUTOMATIC,New Delhi,6.89 lakh
2011,Honda,Honda City 1.5L I-VTEC V MT,68048 KM,DIESEL,MANUAL,Gurgaon,4.94 lakh
2014,Hyundai,Hyundai Elite i20 ASTA 1.2 (O),68769 KM,DIESEL,MANUAL,Gurgaon,7.29 lakh
2010,Honda,Honda City 1.5L I-VTEC ZX,68873 KM,PETROL,AUTOMATIC,Gurgaon,9.42 lakh
2018,Hyundai,Hyundai NEW SANTRO SPORTZ MT,68986 KM,PETROL,AUTOMATIC,Gurgaon,3.44 lakh
2011,Hyundai,Hyundai Santro Xing GL PLUS,"69,102 KM",PETROL,MANUAL,New Delhi,1.64 lakh
2013,Hyundai,Hyundai i20 MAGNA 1.2,"69,108 KM",PETROL,MANUAL,New Delhi,2.67 lakh
2019,Hyundai,Hyundai NEW SANTRO ERA EXECUTIVE,"69,331 KM",PETROL,MANUAL,New Delhi,3.8 lakh
2014,Honda,Honda City 1.5L I-VTEC VX CVT,"69,403 KM",PETROL,AUTOMATIC,New Delhi,5.52 lakh
2019,Hyundai,Hyundai Creta SX AT 1.6 PETROL,"69,534 KM",PETROL,AUTOMATIC,New Delhi,10.99 lakh
2016,Hyundai,Hyundai Grand i10 ASTA (O) 1.2 KAPPA VTVT,"69,965 KM",CNG,MANUAL,New Delhi,4.72 lakh
2013,Hyundai,Hyundai i20 MAGNA 1.2,69591 KM,PETROL,AUTOMATIC,Gurgaon,7.72 lakh
2023,Tata,Tata Tiago XE PETROL,"7,441 KM",PETROL,MANUAL,New Delhi,5.21 lakh
2016,Honda,Honda City 1.5L I-VTEC V MT,"70,115 KM",PETROL,MANUAL,New Delhi,5.84 lakh
2020,Hyundai,GRAND,"70,275 KM",PETROL,MANUAL,Lucknow,5.34 lakh
2019,Hyundai,Hyundai VENUE SX PLUS 1.0 TURBO DCT,"70,908 KM",PETROL,AUTOMATIC,New Delhi,8.81 lakh
2014,Hyundai,Hyundai Eon ERA +,70000 KM,DIESEL,MANUAL,Gurgaon,2.5 lakh
2014,Honda,Brio,"71,139 KM",PETROL,MANUAL,Lucknow,2.65 lakh
2013,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,"71,311 KM",PETROL,MANUAL,New Delhi,2.84 lakh
2011,Hyundai,Hyundai i20 SPORTZ 1.2,"71,485 KM",PETROL,MANUAL,New Delhi,2.08 lakh
2019,Honda,Amaze,"71,706 KM",PETROL,MANUAL,Lucknow,5.86 lakh
2014,Hyundai,Hyundai Creta SX PLUS AT 1.6 PETROL,71170 KM,PETROL,AUTOMATIC,Gurgaon,5.45 lakh
2016,Hyundai,Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,71529 KM,PETROL,AUTOMATIC,Gurgaon,4.98 lakh
2018,Honda,Honda City 1.5L I-VTEC V MT,71586 KM,PETROL,AUTOMATIC,Gurgaon,9.5 lakh
2018,Hyundai,Hyundai Verna 1.6 VTVT SX,7180 KM,PETROL,AUTOMATIC,Gurgaon,6.91 lakh
2015,Honda,City,"72,032 KM",PETROL,MANUAL,Lucknow,5.18 lakh
2017,Honda,Honda City 1.5L I-VTEC ZX CVT,"72,112 KM",PETROL,AUTOMATIC,New Delhi,8.28 lakh
2016,Honda,Honda City 1.5L I-VTEC V MT,"72,308 KM",PETROL,MANUAL,New Delhi,5.39 lakh
2019,Hyundai,Hyundai VENUE SX PLUS 1.0 TURBO DCT,"72,340 KM",PETROL,AUTOMATIC,New Delhi,8.88 lakh
2015,Hyundai,Hyundai Verna FLUIDIC 4S 1.6 VTVT S,"72,498 KM",PETROL,MANUAL,New Delhi,5.43 lakh
2016,Hyundai,Hyundai Grand i10 ASTA 1.2 KAPPA VTVT,"72,561 KM",PETROL,MANUAL,New Delhi,4.27 lakh
2012,Hyundai,Hyundai Elite i20 MAGNA 1.2,72352 KM,PETROL,AUTOMATIC,Gurgaon,3.48 lakh
2020,Honda,Honda City 1.5L I-VTEC ZX,72641 KM,DIESEL,MANUAL,Gurgaon,11.62 lakh
2011,Hyundai,Hyundai i20 SPORTZ 1.2,"73,031 KM",PETROL,MANUAL,New Delhi,1.83 lakh
2016,Hyundai,Creta,"73,060 KM",Diesel,MANUAL,Lucknow,6.91 lakh
2017,Hyundai,Hyundai Grand i10 SPORTZ (O) 1.2 KAPPA VTVT,"73,097 KM",PETROL,MANUAL,New Delhi,3.94 lakh
2017,Hyundai,Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,"73,491 KM",CNG,MANUAL,New Delhi,4.04 lakh
2020,Hyundai,Hyundai Creta SX AT 1.5 DIESEL,"73,831 KM",DIESEL,AUTOMATIC,New Delhi,12.66 lakh
2020,Hyundai,Hyundai Creta SX (O) 1.4 TURBO DCT,73011 KM,PETROL,AUTOMATIC,Gurgaon,6.21 lakh
2021,Honda,Honda City 1.5L I-VTEC SV,73324 KM,PETROL,AUTOMATIC,Gurgaon,12.08 lakh
2019,Tata,Tata NEXON XM DIESEL,73386KM,Diesel,MANUAL,Indore,6.26 lakh
2015,Honda,Honda City 1.5L I-VTEC SV,7354 KM,DIESEL,MANUAL,Gurgaon,8 lakh
2010,Hyundai,Hyundai i10 SPORTZ 1.2,"74,002 KM",PETROL,MANUAL,New Delhi,1.44 lakh
2016,Hyundai,Hyundai Elite i20 MAGNA 1.2,"74,240 KM",PETROL,MANUAL,New Delhi,4.5 lakh
2011,Honda,Honda Jazz 1.2L I-VTEC BASE,"74,253 KM",PETROL,MANUAL,New Delhi,2.17 lakh
2017,Hyundai,Hyundai Creta SX PLUS AT 1.6 PETROL,"74,436 KM",PETROL,AUTOMATIC,New Delhi,8.26 lakh
2014,Honda,Honda City 1.5L I-VTEC V MT,"74,756 KM",PETROL,MANUAL,New Delhi,4.04 lakh
2018,Tata,Tata NEXON XZ PLUS PETROL,74355 KM,PETROL,AUTOMATIC,Gurgaon,73505 lakh
2018,Honda,Honda City 1.5L I-VTEC V MT,7466 KM,PETROL,AUTOMATIC,Gurgaon,5.84 lakh
2019,Hyundai,Hyundai NEW SANTRO MAGNA CNG,"75,012 KM",CNG,MANUAL,New Delhi,4.73 lakh
2011,Hyundai,Hyundai i10 MAGNA 1.2,"75,117 KM",PETROL,MANUAL,New Delhi,1.66 lakh
2014,Honda,Honda City 1.5L I-VTEC V MT,"75,245 KM",PETROL,MANUAL,New Delhi,4.64 lakh
2011,Hyundai,Hyundai i10 MAGNA 1.2,"75,338 KM",PETROL,MANUAL,New Delhi,1.82 lakh
2017,Honda,Honda Jazz 1.2L I-VTEC V,"75,621 KM",PETROL,MANUAL,New Delhi,5.03 lakh
2014,Honda,Honda Amaze 1.2L I-VTEC S AT,"75,833 KM",PETROL,AUTOMATIC,New Delhi,3.77 lakh
2017,Hyundai,Hyundai Creta SX PLUS AT 1.6 PETROL,"75,903 KM",PETROL,AUTOMATIC,New Delhi,8.28 lakh
2015,Hyundai,Hyundai Elite i20 SPORTZ 1.2,"76,547 KM",PETROL,MANUAL,New Delhi,4 lakh
2018,Honda,Honda Amaze 1.2L I-VTEC S,"76,809 KM",CNG,MANUAL,New Delhi,5.02 lakh
2020,Tata,Tata ALTROZ XM PLUS PETROL,76848 KM,DIESEL,MANUAL,Gurgaon,13.72 lakh
2016,Hyundai,Hyundai Creta S 1.6 PETROL,"77,095 KM",PETROL,MANUAL,New Delhi,7 lakh
2016,Honda,Honda City 1.5L I-VTEC VX,"77,228 KM",PETROL,MANUAL,New Delhi,6.31 lakh
2013,Honda,Honda Brio S MT,"77,423 KM",PETROL,MANUAL,New Delhi,2.51 lakh
2018,Hyundai,Hyundai Elite i20 MAGNA 1.2,77804 KM,DIESEL,MANUAL,Gurgaon,6.61 lakh
2016,Hyundai,Hyundai Creta SX PLUS 1.6 PETROL,"78,062 KM",PETROL,MANUAL,New Delhi,7.41 lakh
2018,Honda,Honda Amaze 1.2L I-VTEC V CVT,"78,091 KM",CNG,AUTOMATIC,New Delhi,6.03 lakh
2017,Honda,Honda City 1.5L I-VTEC SV,"78,493 KM",PETROL,MANUAL,New Delhi,5.95 lakh
2011,Hyundai,Hyundai i20 MAGNA 1.2,"78,624 KM",PETROL,MANUAL,New Delhi,1.83 lakh
2014,Hyundai,Hyundai i20 SPORTZ 1.2,"78,713 KM",PETROL,MANUAL,New Delhi,3.47 lakh
2013,Honda,Honda Brio VX MT,"78,963 KM",PETROL,MANUAL,New Delhi,2.86 lakh
2016,Honda,Honda Jazz 1.2L I-VTEC V,"79,166 KM",PETROL,MANUAL,New Delhi,3.86 lakh
2015,Honda,City,"79,231 KM",PETROL,MANUAL,Lucknow,5.05 lakh
2017,Hyundai,Hyundai Verna 1.6 VTVT SX,"79,384 KM",PETROL,MANUAL,New Delhi,6.75 lakh
2021,Tata,Tata NEXON XZ PETROL,"8,119 KM",PETROL,MANUAL,New Delhi,8.19 lakh
2023,Honda,Honda Amaze 1.2L I-VTEC VX CVT,"8,376 KM",PETROL,AUTOMATIC,New Delhi,8.8 lakh
2020,Hyundai,Hyundai Creta S 1.5 PETROL,"80,427 KM",PETROL,MANUAL,New Delhi,10.07 lakh
2013,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,"80,540 KM",PETROL,MANUAL,New Delhi,2.91 lakh
2011,Hyundai,Hyundai i20 MAGNA 1.2,80000 KM,PETROL,MANUAL,Gurgaon,3 lakh
2013,Maruti,Maruti Wagon R 1.0 VXI,80283KM,PETROL,MANUAL,Indore,2.66 lakh
2015,Hyundai,Hyundai GRAND I10 NIOS MAGNA CORPORATE EDITION 1.2 KAPPA VTVT,80619 KM,PETROL,AUTOMATIC,Gurgaon,13 lakh
2014,Honda,Honda City 1.5L I-VTEC V MT,"81,451 KM",PETROL,MANUAL,New Delhi,4.52 lakh
2017,Hyundai,Hyundai Elite i20 SPORTZ 1.2,"81,832 KM",PETROL,MANUAL,New Delhi,4.98 lakh
2024,Hyundai,Hyundai i20 Active 1.2 S,81180 KM,DIESEL,MANUAL,Gurgaon,50814 lakh
2018,Honda,Honda City 1.5L I-VTEC ZX CVT,"82,136 KM",PETROL,AUTOMATIC,New Delhi,7.74 lakh
2011,Hyundai,Hyundai i10 MAGNA 1.1,"82,143 KM",PETROL,MANUAL,New Delhi,1.52 lakh
2017,Tata,Tata NEXON XZ PLUS PETROL,"82,375 KM",PETROL,MANUAL,New Delhi,6 lakh
2014,Honda,Amaze,"82,570 KM",PETROL,AUTOMATIC,Lucknow,3.31 lakh
2011,Hyundai,Hyundai i20 SPORTZ 1.2,"82,650 KM",PETROL,MANUAL,New Delhi,2.15 lakh
2016,Hyundai,Hyundai Creta BASE 1.6 PETROL,"82,912 KM",PETROL,MANUAL,New Delhi,5.92 lakh
2011,Hyundai,Hyundai i10 MAGNA 1.2,"82,923 KM",PETROL,MANUAL,New Delhi,1.61 lakh
2018,Tata,Tata ALTROZ XM PLUS PETROL,82316 KM,DIESEL,MANUAL,Gurgaon,3.43 lakh
2017,Maruti,Maruti Ciaz ZXI+ AT,82661KM,PETROL,AUTOMATIC,Indore,5.25 lakh
2017,Hyundai,Hyundai Creta E PLUS 1.6 PETROL,"83,038 KM",PETROL,MANUAL,New Delhi,7.13 lakh
2015,Honda,Honda City 1.5L I-VTEC V MT,"83,104 KM",PETROL,MANUAL,New Delhi,4.84 lakh
2014,Honda,Honda Amaze 1.2L I-VTEC S,"83,769 KM",PETROL,MANUAL,New Delhi,3.07 lakh
2022,Hyundai,Hyundai NEW I20 Sportz (O) 1.2 IVT,83441 KM,DIESEL,MANUAL,Gurgaon,8.44 lakh
2014,Hyundai,Hyundai i10 MAGNA 1.1,"84,017 KM",PETROL,MANUAL,New Delhi,2.33 lakh
2015,Hyundai,Hyundai Elite i20 MAGNA 1.2,"84,601 KM",PETROL,MANUAL,New Delhi,4.1 lakh
2016,Hyundai,Hyundai Creta SX PLUS 1.6 PETROL,"84,938 KM",CNG,MANUAL,New Delhi,6.99 lakh
2014,Hyundai,Hyundai i20 SPORTZ 1.2,"85,084 KM",PETROL,MANUAL,New Delhi,3.42 lakh
2018,Tata,Tata NEXON XZA PLUS PETROL DUAL TONE,"85,837 KM",PETROL,AUTOMATIC,New Delhi,6.65 lakh
2020,Hyundai,Hyundai VENUE SX 1.0 TURBO,8503 KM,DIESEL,MANUAL,Gurgaon,11.76 lakh
2018,Datsun,Datsun Redi Go T(O) 1.0 AMT,8510KM,PETROL,AUTOMATIC,Indore,2.87 lakh
2017,Hyundai,Grand,"86,009 KM",PETROL,MANUAL,Lucknow,3.7 lakh
2018,Hyundai,Hyundai Creta SX PLUS AT 1.6 PETROL,"86,490 KM",PETROL,AUTOMATIC,New Delhi,8.95 lakh
2017,Maruti,Maruti Baleno ZETA PETROL 1.2,86236KM,PETROL,MANUAL,Indore,5.33 lakh
2016,Honda,Honda City 1.5L I-VTEC V MT,"87,088 KM",PETROL,MANUAL,New Delhi,5.69 lakh
2018,Hyundai,Hyundai Xcent S 1.2,"87,732 KM",CNG,MANUAL,New Delhi,4.95 lakh
2017,Tata,Tata ALTROZ XM PLUS PETROL,8729 KM,DIESEL,MANUAL,Gurgaon,4.54 lakh
2014,Hyundai,Hyundai VENUE SX 1.0 TURBO,8749 KM,PETROL,AUTOMATIC,Gurgaon,5.56 lakh
