Year,Car,Model,Kilometre Driven,Fuel Type,Transmission Type,Location,Price
2022,Hyundai,Hyundai GRAND I10 NIOS SPORTZ U2 AMT 1.2 CRDI,"38,529 KM",DIESEL,AUTOMATIC,New Delhi,7.19 lakh
2021,Honda,WR-V,"38,678 KM",PETROL,MANUAL,Lucknow,8.24 lakh
2022,Tata,Tata TIGOR XZ PLUS CNG,"38,888 KM",CNG,MANUAL,New Delhi,7.56 lakh
2020,Honda,Honda City 1.5L I-VTEC ZX,38036 KM,DIESEL,MANUAL,Gurgaon,5.84 lakh
2015,Tata,Tata NEXON XZ PLUS (O) PETROL DARK EDITION,38576 KM,DIESEL,MANUAL,Gurgaon,7.99 lakh
2017,Hyundai,Hyundai GRAND I10 NIOS MAGNA CORPORATE EDITION 1.2 KAPPA VTVT,38627 KM,PETROL,AUTOMATIC,Gurgaon,4.63 lakh
2013,Honda,Honda City 1.5L I-VTEC SV,38704 KM,PETROL,AUTOMATIC,Gurgaon,9.83 lakh
2015,Hyundai,Hyundai Creta SX PLUS AT 1.6 PETROL,38856 KM,PETROL,AUTOMATIC,Gurgaon,5.89 lakh
2017,Honda,Honda City 1.5L I-VTEC ZX CVT,"39,103 KM",PETROL,AUTOMATIC,New Delhi,8.04 lakh
2015,Honda,Honda City 1.5L I-VTEC SV CVT,"39,168 KM",PETROL,AUTOMATIC,New Delhi,5.16 lakh
2022,Hyundai,Hyundai AURA S 1.2 CNG,"39,362 KM",CNG,MANUAL,New Delhi,7.34 lakh
2022,Honda,City,"39,416 KM",PETROL,MANUAL,Lucknow,9.95 lakh
2019,Honda,Amaze,"39,484 KM",PETROL,MANUAL,Lucknow,5.71 lakh
2020,Tata,Tiago,"39,609 KM",PETROL,MANUAL,Lucknow,5.85 lakh
2019,Honda,Honda Amaze 1.2L I-VTEC V CVT,"39,639 KM",PETROL,AUTOMATIC,New Delhi,6.73 lakh
2019,Honda,Honda Amaze 1.2L I-VTEC S,"39,901 KM",PETROL,MANUAL,New Delhi,5.16 lakh
2015,Hyundai,Hyundai NEW I20 Sportz (O) 1.2 IVT,39373 KM,DIESEL,MANUAL,Gurgaon,1.49 lakh
2020,Tata,Tata ALTROZ XM PLUS PETROL,39386 KM,PETROL,AUTOMATIC,Gurgaon,11.88 lakh
2016,Hyundai,Hyundai NEW SANTRO SPORTZ MT,39393 KM,DIESEL,MANUAL,Gurgaon,8.93 lakh
2020,Hyundai,Hyundai AURA SX 1.2,39546KM,PETROL,MANUAL,Indore,6.02 lakh
2022,Tata,PUNCH,"4,873 KM",PETROL,MANUAL,Lucknow,7.48 lakh
2021,Tata,Tata ALTROZ XM PLUS PETROL,"40,167 KM",PETROL,MANUAL,New Delhi,5.91 lakh
2018,Hyundai,Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,"40,186 KM",PETROL,MANUAL,New Delhi,3.96 lakh
2015,Hyundai,Grand,"40,227 KM",PETROL,MANUAL,Lucknow,3.36 lakh
2022,Hyundai,Hyundai Creta SX (O) 1.4 TURBO DCT,"40,368 KM",PETROL,AUTOMATIC,New Delhi,16.54 lakh
2015,Honda,Honda Jazz 1.2L I-VTEC V AT,"40,511 KM",PETROL,AUTOMATIC,New Delhi,4.51 lakh
2015,Hyundai,Hyundai Elite i20 SPORTZ 1.2,"40,714 KM",PETROL,MANUAL,New Delhi,4.59 lakh
2019,Hyundai,Hyundai Verna 1.6 VTVT SX (O) AT,"40,798 KM",PETROL,AUTOMATIC,New Delhi,8.78 lakh
2015,Hyundai,Hyundai Grand i10 ASTA 1.2 KAPPA VTVT,"40,819 KM",PETROL,MANUAL,New Delhi,3.38 lakh
2017,Tata,Tata NEXON XZ PLUS PETROL,"40,890 KM",PETROL,MANUAL,New Delhi,5.7 lakh
2019,Hyundai,Hyundai Verna 1.6 VTVT SX,40000 KM,PETROL,AUTOMATIC,Gurgaon,8 lakh
2017,Honda,Honda City 1.5L I-VTEC SV,40000 KM,DIESEL,MANUAL,Gurgaon,6 lakh
2018,Hyundai,Hyundai Eon ERA +,40297 KM,PETROL,AUTOMATIC,Gurgaon,5.17 lakh
2016,Hyundai,Hyundai NEW SANTRO SPORTZ MT,40335 KM,PETROL,AUTOMATIC,Gurgaon,6.12 lakh
2018,Hyundai,Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,40693 KM,PETROL,AUTOMATIC,Gurgaon,5.1 lakh
2018,Jeep,Jeep Compass LONGITUDE 2.0 DIESEL,40813KM,Diesel,MANUAL,Indore,11.1 oekr
2016,Hyundai,Hyundai VENUE SX 1.0 TURBO,40850 KM,DIESEL,MANUAL,Gurgaon,2.32 lakh
2018,Tata,Tata NEXON XZ PLUS (O) PETROL DARK EDITION,40850 KM,DIESEL,MANUAL,Gurgaon,8.07 lakh
2019,Hyundai,Hyundai NEW SANTRO SPORTZ MT,"41,083 KM",PETROL,MANUAL,New Delhi,3.78 lakh
2018,Honda,Honda WR-V 1.2L I-VTEC VX MT,"41,090 KM",PETROL,MANUAL,New Delhi,6.42 lakh
2018,Hyundai,Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,"41,163 KM",PETROL,MANUAL,New Delhi,3.86 lakh
2016,Hyundai,Hyundai i10 MAGNA 1.1,"41,176 KM",PETROL,MANUAL,New Delhi,3.14 lakh
2015,Honda,Honda City 1.5L I-VTEC V MT,"41,293 KM",PETROL,MANUAL,New Delhi,4.77 lakh
